verificationStatus,referenceDesignator,deployYear,deploymentSheetAssetID,rawFileVerification,imageVerification,calFileVerification,calibrationRequired,HITLstatus,HITLnotes,,
NOT_VERIFIED,RS03AXPS-PC03A-4B-PHSENA302,2025,ATAPL-58337-00001,NAN,NAN,VALID_FILE_CAL_OLDER_THAN_15MONTHS,TRUE,NA,,,
NOT_VERIFIED,RS03AXPS-PC03A-08-HYDBBA303,2025,ATAPL-58324-00009,NAN,NAN,VALID_FILE_CAL_OLDER_THAN_15MONTHS,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-SF01A-2D-PHSENA101,2025,ATAPL-58337-00005,NAN,NAN,VALID_FILE_CAL_OLDER_THAN_15MONTHS,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-PC01A-4B-PHSENA102,2025,ATAPL-58337-00003,NAN,NAN,VALID_FILE_CAL_OLDER_THAN_15MONTHS,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-PC01A-08-HYDBBA103,2025,ATAPL-58324-00007,NAN,NAN,VALID_FILE_CAL_OLDER_THAN_15MONTHS,TRUE,NA,,,
NOT_VERIFIED,CE04OSBP-LJ01C-11-HYDBBA105,2025,ATOSU-58324-00013,NAN,NAN,VALID_FILE_CAL_OLDER_THAN_15MONTHS,TRUE,NA,,,
NOT_VERIFIED,CE02SHBP-LJ01D-11-HYDBBA106,2025,ATOSU-58324-00012,NAN,NAN,VALID_FILE_CAL_OLDER_THAN_15MONTHS,TRUE,NA,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NOT_VERIFIED,RS03INT1-MJ03C-07-RASFLA301,2024,ATAPL-58340-00002,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03INT1-MJ03C-07-PPSDNA301,2024,ATAPL-58338-00003,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03INT1-MJ03C-07-D1000A301,2024,ATAPL-58340-00002,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03INT1-MJ03C-05-CAMDSB303,2024,ATAPL-78437-00008,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03CCAL-MJ03F-08-FETCHA301,2024,PIRSN-FETCHA-00002,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03CCAL-MJ03F-07-A0ABPA301,2024,PIRSN-A0ABPA-10001,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03AXPS-SF03A-4B-VELPTD302,2024,ATAPL-70114-00002,NAN,NAN,none,NAN,NA,,,
